Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000275486,CD158e2,KIR3DL1,3811
ENSG00000275486,cl-11,KIR3DL1,3811
ENSG00000275486,cl-2,KIR3DL1,3811
ENSG00000275486,KIR,KIR3DL1,3811
ENSG00000275486,nkat3,KIR3DL1,3811
ENSG00000275486,NKB1,KIR3DL1,3811
ENSG00000275486,NKB1B,KIR3DL1,3811
ENSG00000215002,,RPL23AP59,
ENSG00000182632,bA178A10.2,CCNYL2,
ENSG00000182632,C10orf21,CCNYL2,
ENSG00000182632,CCNYL2P,CCNYL2,
ENSG00000250959,C10orf102,GLUD1P3,
ENSG00000250959,Em:AC022400.11,GLUD1P3,
ENSG00000250959,GLUDP3,GLUD1P3,
ENSG00000228366,,AL592437.1,
ENSG00000286137,SPDYE14P,SPDYE14,
ENSG00000232486,,AL592437.2,
ENSG00000232880,,NDUFB4P10,
ENSG00000224940,,PRRT4,401399
ENSG00000273598,,AC211486.6,
ENSG00000254806,,SYS1-DBNDD2,
ENSG00000224280,,AC005014.1,
ENSG00000239306,COAA,RBM14,10432
ENSG00000239306,DKFZp779J0927,RBM14,10432
ENSG00000239306,SIP,RBM14,10432
ENSG00000239306,SYTIP1,RBM14,10432
ENSG00000272361,,AC005014.2,
ENSG00000114023,C3orf28,FAM162A,26355
